"","ConcGr","Accession","coli1","coli2","smeg1","smeg2","nDetectedFlycodes","nTotalFlycodes","coverage"
"1",92,"P1A4",3473996.13343,3670152.21589,3524233.82115,3629077.14299,11,30,37
"2",295,"P1A5",23970331.59921,24546549.82922,26479936.46059,25950083.50554,22,30,73
"3",943,"P1A6",65538576.3301,67507721.844672,66123185.78855,66400184.94756,24,30,80
"4",92,"P1B4",3972001.97248,3951214.97325,3685668.17075,3632471.83508,15,30,50
"5",295,"P1B5",16033017.28377,16352276.58579,17209164.56658,17490690.6673,22,30,73
"6",943,"P1B6",55078431.14996,58048225.6292,50652046.80456,50278919.23979,23,30,77
"7",92,"P1C4",5582053.48166,5716916.52519,5700898.59054,5623891.281767,16,30,53
"8",295,"P1C5",24016077.54268,24734329.4636,22810916.09593,22589772.94219,19,30,63
"9",3017,"P1C6",168463728.1206,180586806.58498,158342928.83475,158748951.88349,26,30,87
"10",92,"P1D4",5188468.25737,5642192.47009,5245252.29993,5281380.80319,15,30,50
"11",295,"P1D5",17658145.39539,17864382.03777,17760463.15391,17773297.49319,16,30,53
"12",3017,"P1D6",159828073.896722,163103139.280537,140519541.818871,138765621.308757,29,30,97
"13",92,"P1E4",4697744.62598,4824759.83419,5051017.25252,5146803.75145,13,30,43
"14",943,"P1E5",60305498.53593,62836185.64137,62173846.48738,61952054.15283,23,30,77
"15",3017,"P1E6",166626466.71456,176697477.75017,159850631.68475,161744675.20902,30,30,100
"16",92,"P1F4",3968238.7614,4026335.92766,4246878.70504,4251950.70032,12,30,40
"17",943,"P1F5",46800670.05179,49088967.09497,47748401.31426,47930977.13257,19,30,63
"18",3017,"P1F6",191955804.37216,203793126.71731,181359940.16162,182939795.77574,28,30,93
"19",295,"P1G4",16016015.452574,16618336.40142,18270569.21497,19036154.3713,22,30,73
"20",943,"P1G5",54312219.34258,55033298.421861,51968903.001848,51106581.911979,24,30,80
"21",3017,"P1G6",183248427.17594,189386706.71561,177588745.54489,178178834.02083,24,30,80
"22",295,"P1H4",19519544.37241,20301903.31411,20111340.22733,20174474.0896,21,30,70
"23",943,"P1H5",59931715.8598,61370896.93701,55971370.02077,56588297.82,22,30,73
"24",3017,"P1H6",181057205.18376,185326018.996182,161715000.849674,152753819.381706,28,30,93
